service_id,date,exception_type
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200812,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200812,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200812,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200812,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200812,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200812,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200812,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200812,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200812,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200813,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200813,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200813,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200813,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200813,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200813,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200813,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200813,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200813,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200813,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200813,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200813,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200813,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200813,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200814,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200814,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200814,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200814,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200814,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200814,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200814,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200814,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200814,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200814,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200814,1
1_DjfE20-7-jours-81-2020T-1111111,20200815,1
2_DjfE20-7-jours-81-2020T-1111111,20200815,1
3_DjfE20-7-jours-81-2020T-1111111,20200815,1
412_DjfE-7-jours-81-2020T-1111111,20200815,1
A_DjfE20-7-jours-81-2020T-1111111,20200815,1
Taxi_dim-Dimanche-1-I_TAXI17-0000001,20200815,1
1_DjfE20-7-jours-81-2020T-1111111,20200816,1
2_DjfE20-7-jours-81-2020T-1111111,20200816,1
3_DjfE20-7-jours-81-2020T-1111111,20200816,1
412_DjfE-7-jours-81-2020T-1111111,20200816,1
A_DjfE20-7-jours-72-2020T-1111111,20200816,1
NM_Dim20-Dimanche-71-2020T-0000001,20200816,1
PRT_NLdj-7-jours-81-2020T-1111111,20200816,1
Taxi_dim-Dimanche-1-I_TAXI17-0000001,20200816,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200817,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200817,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200817,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200817,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200817,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200817,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200817,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200817,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200817,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200817,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200817,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200817,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200817,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200817,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200818,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200818,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200818,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200818,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200818,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200818,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200818,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200818,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200818,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200818,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200818,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200818,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200818,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200818,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200819,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200819,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200819,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200819,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200819,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200819,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200819,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200819,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200819,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200819,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200819,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200819,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200819,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200819,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200820,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200820,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200820,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200820,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200820,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200820,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200820,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200820,1
ETE21_A-Lun-Sam-21-2020T-1111110,20200820,1
PRTEté21-L-Ma-Me-J-21-2020T-1111111,20200820,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200820,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200820,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200820,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200820,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_06-Lun-Sam-20-2020T-1111100,20200821,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_07-Lun-Sam-20-2020T-1111100,20200821,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_08-Lun-Sam-20-2020T-1111100,20200821,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_09-Lun-Sam-20-2020T-1111100,20200821,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_10-Lun-Sam-20-2020T-1111100,20200821,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_11-Lun-Sam-20-2020T-1111100,20200821,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200821,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_30-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_31-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_32-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_32-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_33-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_33-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_34-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_35-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_35-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_36-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_36-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_37-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_38-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_38-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_39-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_39-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_41-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_42-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_42-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_43-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_43-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_44-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_44-Lun-Sam-1-SUB1920-1111110,20200821,1
ETE20_45-Lun-Sam-1-SUB1920-1111100,20200821,1
ETE20_45-Lun-Sam-1-SUB1920-1111110,20200821,1
Taxi_ls-Lun-Sam-1-I_TAXI17-1111110,20200821,1
ETE20_01-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_02-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_03-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_04-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_05-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_06-Lun-Sam-20-2020T-0000010,20200822,1
ETE20_06-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_07-Lun-Sam-20-2020T-0000010,20200822,1
ETE20_07-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_08-Lun-Sam-20-2020T-0000010,20200822,1
ETE20_08-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_09-Lun-Sam-20-2020T-0000010,20200822,1
ETE20_09-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_10-Lun-Sam-20-2020T-0000010,20200822,1
ETE20_10-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_11-Lun-Sam-20-2020T-0000010,20200822,1
ETE20_11-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_12-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_1s-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_2s-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_3s-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_4s-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_A-Lun-Sam-20-2020T-1111110,20200822,1
ETE20_13-Lun-Sam-1-SUB1920-1111110,20200822,1
ETE20_15-Lun-Sam-1-SUB1920-1111110,20200822,1
ETE20_30-Lun-Sam-1-SUB1920-0000010,20200822,1
ETE20_30-Lun-Sam-1-SUB1920-1111110,20200822,1
ETE20_31-Lun-Sam-1-SUB1920-0000010,20200822,1
ETE20_31-Lun-Sam-1-SUB1920-1111110,20200822,1
